move_name,filename,move_duration_frames,package,category,is_neutral,is_mirror,move_soma_uniform_path,move_soma_uniform_shape_path,move_soma_proportional_path,move_soma_proportional_shape_path,move_g1_path,take_name,take_actor,take_org_name,take_date,take_day_part,content_name,content_natural_desc_1,content_natural_desc_2,content_natural_desc_3,content_natural_desc_4,content_technical_description,content_short_description,content_short_description_2,content_all_rigplay_styles,content_uniform_style,content_type_of_movement,content_body_position,content_horizontal_move,content_vertical_move,content_props,content_complex_action,content_repeated_action,actor_uid,actor_height,actor_height_cm,actor_foot_cm,actor_collarbone_height_cm,actor_collarbone_span_cm,actor_elbow_span_cm,actor_wrist_span_cm,actor_shoulder_span_cm,actor_hips_height_cm,actor_hips_bones_span_cm,actor_knee_height_cm,actor_ankle_height_cm,actor_weight_kg,actor_age_yr,actor_gender,actor_profession
crawl_ff_loop_270_R_002__A231,crawl_ff_loop_270_R_002__A231,928,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_loop_270_R_002__A231.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_loop_270_R_002__A231.bvh,soma_shapes/soma_proportion_fit_mhr_params/A231.npz,g1/csv/230301/crawl_ff_loop_270_R_002__A231.csv,crawl_ff_loop_270_R_002,A231,crawl_ff_loop_270_R_002,230301,_1,crawl_ff_loop_270_R,"person on the floor in a frog position, crawling sideways",person crawls while moving sideways,person moves sideways in a frog-like crawling position,A person is steadily crawling to the right using their forearms and toes.,"move sideways, talent on the floor in frog position, crawling",crawling to the right,crawl ff loop 270,neutral,neutral,crawling,crawling,1,1,0,0,0,A231,M,177,28,146,38,100,146,186,100,31,55,11,88,33,M,stuntman
crawl_ff_start_270_R_003__A229,crawl_ff_start_270_R_003__A229,948,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_start_270_R_003__A229.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_start_270_R_003__A229.bvh,soma_shapes/soma_proportion_fit_mhr_params/A229.npz,g1/csv/230301/crawl_ff_start_270_R_003__A229.csv,crawl_ff_start_270_R_003,A229,crawl_ff_start_270_R_003,230301,_1,crawl_ff_start_270_R,crawling forward while facing right from a frog position,person on the floor in a frog position begins to crawl to the right,"person starts to crawl from a frog position on the floor, moving sideways to the right",A person is crawling to their right while facing forward.,"start right foot left hand adding, move sideways, talent on the floor in frog position, crawling",beginning to crawl facing forward directly to the right,crawl ff start 270,neutral,neutral,crawling,crawling,1,1,0,0,0,A229,M,174,24,144,32,94,139,172,99,27,58,9,58,28,F,actor
crawl_ff_start_270_R_001__A132,crawl_ff_start_270_001__A132,758,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230120/crawl_ff_start_270_001__A132.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230120/crawl_ff_start_270_001__A132.bvh,soma_shapes/soma_proportion_fit_mhr_params/A132.npz,g1/csv/230120/crawl_ff_start_270_001__A132.csv,crawl_ff_start_270_R_001,A132,crawl_ff_start_270_001,230120,_1,crawl_ff_start_270_R,crawling forward while facing right from a frog position,person on the floor in a frog position begins to crawl to the right,"person starts to crawl from a frog position on the floor, moving sideways to the right",A person sturdily crawls to their right.,"start right foot left hand adding, move sideways, talent on the floor in frog position, crawling",beginning to crawl facing forward directly to the right,crawl ff start 270,neutral,neutral,crawling,crawling,1,1,0,0,0,A132,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
crawl_idle_to_idle_004__A127,idle_crawl_stop_004__A127,951,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230119/idle_crawl_stop_004__A127.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/idle_crawl_stop_004__A127.bvh,soma_shapes/soma_proportion_fit_mhr_params/A127.npz,g1/csv/230119/idle_crawl_stop_004__A127.csv,crawl_idle_to_idle_004,A127,idle_crawl_stop_004,230119,_3,crawl_idle_to_idle,character stands up from a crawling position to a neutral stance,"from a crawling position, person pushes themselves up to a standing posture",transitioning from lie-down position to standing position,"A person lying in a prone position stands into an upright stance, facing forward.",stand up from lying on the ground to standing up,from crawling position to neutral position,crawl idle to idle,neutral,neutral,transition,crawling,1,1,0,0,0,A127,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
crawl_ff_stop_315_R_002__A134,crawl_ff_stop_315_002__A134,1032,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230120/crawl_ff_stop_315_002__A134.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230120/crawl_ff_stop_315_002__A134.bvh,soma_shapes/soma_proportion_fit_mhr_params/A134.npz,g1/csv/230120/crawl_ff_stop_315_002__A134.csv,crawl_ff_stop_315_R_002,A134,crawl_ff_stop_315_002,230120,_1,crawl_ff_stop_315_R,individual ceases their diagonal crawl towards the back right,figure ceases to crawl backward diagonally to the right,"individual pauses to crawl backward on the floor in a frog-like position, diagonally to the right","A person crawls to the right, stopping themselves with each step using their forearms and toes.","end left foot right hand adding, move backward diagonally, talent on the floor in frog position, crawling",stopping to crawl backwards diagonally to the right,crawl ff stop 315,neutral,neutral,crawling,crawling,1,1,0,0,0,A134,M,177,28,146,37,100,142,180,98,29,52,10,82,25,M,actor
idle_to_crawl_idle_002__A232,idle_crawl_start_002__A232,945,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/idle_crawl_start_002__A232.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/idle_crawl_start_002__A232.bvh,soma_shapes/soma_proportion_fit_mhr_params/A232.npz,g1/csv/230301/idle_crawl_start_002__A232.csv,idle_to_crawl_idle_002,A232,idle_crawl_start_002,230301,_1,idle_to_crawl_idle,character moves from standing to a kneeling frog-like position,"character moves from standing to a frog position, placing hands on floor",person transitions from standing to a frog-like position on the floor,"A person standing in an upright stance lowers down to the ground in a crawling position, placing their hands on the ground in front of them.","kneel on both knees, add both hands parallel on floor simultaneously, from standing to talent on the floor in frog position",from neutral position to crawl position,idle to crawl idle,neutral,neutral,transition,"standing, crawling",0,0,0,0,0,A232,M,181,29,150,36,99,143,190,104,29,54,10,70,27,M,actor
crawl_ff_loop_180_R_004__A217,crawl_ff_loop_180_R_004__A217,2050,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/crawl_ff_loop_180_R_004__A217.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/crawl_ff_loop_180_R_004__A217.bvh,soma_shapes/soma_proportion_fit_mhr_params/A217.npz,g1/csv/230223/crawl_ff_loop_180_R_004__A217.csv,crawl_ff_loop_180_R_004,A217,crawl_ff_loop_180_R_004,230223,_1,crawl_ff_loop_180_R,individual crawls forward from a frog-like position on the floor,character crawls forward from a frog position on the floor,person in frog position is crawling forward,The person is crawling forward on the ground.,"move forward, talent on the floor in frog position, crawling",crawling facing forward,crawl ff loop 180,neutral,neutral,crawling,crawling,1,1,0,0,0,A217,M,177,28,146,37,100,142,180,98,29,52,10,82,25,M,actor
crawl_ff_loop_180_R_002__A127,crawl_ff_loop_180_R_002__A127,944,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230119/crawl_ff_loop_180_R_002__A127.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/crawl_ff_loop_180_R_002__A127.bvh,soma_shapes/soma_proportion_fit_mhr_params/A127.npz,g1/csv/230119/crawl_ff_loop_180_R_002__A127.csv,crawl_ff_loop_180_R_002,A127,crawl_ff_loop_180_R_002,230119,_3,crawl_ff_loop_180_R,individual crawls forward from a frog-like position on the floor,character crawls forward from a frog position on the floor,person in frog position is crawling forward,A person lying on their stomach crawls forward steadily.,"move forward, talent on the floor in frog position, crawling",crawling facing forward,crawl ff loop 180,neutral,neutral,crawling,crawling,1,1,0,0,0,A127,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
crawl_ff_stop_225_R_001__A233,crawl_ff_stop_225_R_001__A233,1104,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_stop_225_R_001__A233.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_stop_225_R_001__A233.bvh,soma_shapes/soma_proportion_fit_mhr_params/A233.npz,g1/csv/230301/crawl_ff_stop_225_R_001__A233.csv,crawl_ff_stop_225_R_001,A233,crawl_ff_stop_225_R_001,230301,_1,crawl_ff_stop_225_R,figure on the ground in a frog-like position crawls diagonally toward the top-right direction,stop crawling forward at a diagonal right direction,person stops crawling forward in the right diagonal direction,"A person lying on the ground slowly crawls towards the right diagonal, then stops.","end left foot right hand adding, move forward diagonally, talent on the floor in frog position, crawling",stopping to crawl forward in right diagonal direction,crawl ff stop 225,neutral,neutral,crawling,crawling,1,1,0,0,0,A233,M,174,24,145,31,97,136,173,103,28,53,9,65,28,F,actor
crawl_ff_loop_270_R_001__A215,crawl_ff_loop_270_R_001__A215,1138,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/crawl_ff_loop_270_R_001__A215.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/crawl_ff_loop_270_R_001__A215.bvh,soma_shapes/soma_proportion_fit_mhr_params/A215.npz,g1/csv/230223/crawl_ff_loop_270_R_001__A215.csv,crawl_ff_loop_270_R_001,A215,crawl_ff_loop_270_R_001,230223,_2,crawl_ff_loop_270_R,"person on the floor in a frog position, crawling sideways",person crawls while moving sideways,person moves sideways in a frog-like crawling position,A person in a plank posture crawls sideways to the right.,"move sideways, talent on the floor in frog position, crawling",crawling to the right,crawl ff loop 270,neutral,neutral,crawling,crawling,1,1,0,0,0,A215,M,169,25,136,25,90,130,164,95,31,51,8,63,25,F,actor
turn_crawl_270_R_003__A229,turn_crawl_270_R_003__A229,958,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/turn_crawl_270_R_003__A229.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/turn_crawl_270_R_003__A229.bvh,soma_shapes/soma_proportion_fit_mhr_params/A229.npz,g1/csv/230301/turn_crawl_270_R_003__A229.csv,turn_crawl_270_R_003,A229,turn_crawl_270_R_003,230301,_1,turn_crawl_270_R,person on all fours makes a turn to the right,"on the floor, resembling a frog, person turns 90 degrees to the right while crawling","person on the floor turns 90 degrees to their right, crawling",A person turns right by crawling while lying on their stomach.,"start right foot left hand adding, turn 90 degrees over right shoulder, talent on the floor in frog position",turning right while crawling,turn crawl 270,neutral,neutral,"turning, crawling",crawling,1,1,0,0,0,A229,M,174,24,144,32,94,139,172,99,27,58,9,58,28,F,actor
crawl_ff_start_360_R_001__A231,crawl_ff_start_360_R_001__A231,1112,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_start_360_R_001__A231.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_start_360_R_001__A231.bvh,soma_shapes/soma_proportion_fit_mhr_params/A231.npz,g1/csv/230301/crawl_ff_start_360_R_001__A231.csv,crawl_ff_start_360_R_001,A231,crawl_ff_start_360_R_001,230301,_1,crawl_ff_start_360_R,person begins to crawl backward over their right shoulder,"person begins to crawl backward, starting their movement over the right shoulder in a frog-like position",person starts crawling backward over their right shoulder,A person lying with their tummy flat on the floor begins to crawl backwards.,"start right foot left hand adding left hand adding, move backward, talent on the floor in frog position, crawling",beginning to crawling back over right shoulder,crawl ff start 360,neutral,neutral,crawling,crawling,1,1,0,0,0,A231,M,177,28,146,38,100,146,186,100,31,55,11,88,33,M,stuntman
crawl_idle_right_R_003__A215,idle_crawl_right_loop_R_003__A215,1260,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/idle_crawl_right_loop_R_003__A215.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/idle_crawl_right_loop_R_003__A215.bvh,soma_shapes/soma_proportion_fit_mhr_params/A215.npz,g1/csv/230223/idle_crawl_right_loop_R_003__A215.csv,crawl_idle_right_R_003,A215,idle_crawl_right_loop_R_003,230223,_1,crawl_idle_right_R,"lying on the floor, right leg bent and stretched to the right","someone lying on the floor, with their right leg slightly extended",person lying on the floor with the right leg slightly forward,"A person is lying flat and still on the ground in a sprawled, prone position.",lies on the floor with right leg bent to the right,lying down open position,crawl idle right,neutral,neutral,crawling,crawling,1,1,0,0,0,A215,M,169,25,136,25,90,130,164,95,31,51,8,63,25,F,actor
crawl_idle_right_R_004__A231,idle_crawl_right_loop_R_004__A231,1375,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/idle_crawl_right_loop_R_004__A231.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/idle_crawl_right_loop_R_004__A231.bvh,soma_shapes/soma_proportion_fit_mhr_params/A231.npz,g1/csv/230301/idle_crawl_right_loop_R_004__A231.csv,crawl_idle_right_R_004,A231,idle_crawl_right_loop_R_004,230301,_1,crawl_idle_right_R,"lying on the floor, right leg bent and stretched to the right","someone lying on the floor, with their right leg slightly extended",person lying on the floor with the right leg slightly forward,A person is lying on the ground on their torso in a crawling stance.,lies on the floor with right leg bent to the right,lying down open position,crawl idle right,neutral,neutral,crawling,crawling,1,1,0,0,0,A231,M,177,28,146,38,100,146,186,100,31,55,11,88,33,M,stuntman
crawl_to_idle_crawl_right_R_003__A216,idle_crawl_to_idle_crawl_right_R_003__A216,605,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/idle_crawl_to_idle_crawl_right_R_003__A216.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/idle_crawl_to_idle_crawl_right_R_003__A216.bvh,soma_shapes/soma_proportion_fit_mhr_params/A216.npz,g1/csv/230223/idle_crawl_to_idle_crawl_right_R_003__A216.csv,crawl_to_idle_crawl_right_R_003,A216,idle_crawl_to_idle_crawl_right_R_003,230223,_1,crawl_to_idle_crawl_right_R,person in a crawling position moves to crawl with the right leg in front,transition from a lie down position to having the right foot slightly forward while crawling,transition from a lying position to crawling with your right leg slightly advanced,A person lying on the floor starts to crawl forward.,"from lying position to right foot slightly forward, talent on the floor",from crawling position to crawling position with right leg forward,crawl to idle crawl right,neutral,neutral,transition,crawling,0,0,0,0,0,A216,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
crawl_idle_right_R_003__A128,idle_crawl_right_loop_003__A128,921,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230119/idle_crawl_right_loop_003__A128.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/idle_crawl_right_loop_003__A128.bvh,soma_shapes/soma_proportion_fit_mhr_params/A128.npz,g1/csv/230119/idle_crawl_right_loop_003__A128.csv,crawl_idle_right_R_003,A128,idle_crawl_right_loop_003,230119,_3,crawl_idle_right_R,"lying on the floor, right leg bent and stretched to the right","someone lying on the floor, with their right leg slightly extended",person lying on the floor with the right leg slightly forward,A person is lying on the ground on their torso in a crawling stance.,lies on the floor with right leg bent to the right,lying down open position,crawl idle right,neutral,neutral,crawling,crawling,1,1,0,0,0,A128,M,181,29,152,35,99,145,188,103,29,58,10,73,25,M,actor
crawl_ff_start_180_R_004__A127,crawl_ff_start_180_R_004__A127,705,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230119/crawl_ff_start_180_R_004__A127.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/crawl_ff_start_180_R_004__A127.bvh,soma_shapes/soma_proportion_fit_mhr_params/A127.npz,g1/csv/230119/crawl_ff_start_180_R_004__A127.csv,crawl_ff_start_180_R_004,A127,crawl_ff_start_180_R_004,230119,_3,crawl_ff_start_180_R,person positioned like a frog is initiating a crawl movement forward,"person on the floor in a frog position starts crawling forward, leading with their right foot and left hand","starting with their right foot, individual starts to move forward while on the floor in a frog position and begin crawling",A person lying on the ground starts crawling forward at a relatively fast pace.,"start right foot left hand adding left hand adding, move forward, talent on the floor in frog position, crawling",beginning to crawl facing forward,crawl ff start 180,neutral,neutral,crawling,crawling,1,1,0,0,0,A127,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
crawl_ff_loop_360_R_002__A217,crawl_ff_loop_360_R_002__A217,1253,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/crawl_ff_loop_360_R_002__A217.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/crawl_ff_loop_360_R_002__A217.bvh,soma_shapes/soma_proportion_fit_mhr_params/A217.npz,g1/csv/230223/crawl_ff_loop_360_R_002__A217.csv,crawl_ff_loop_360_R_002,A217,crawl_ff_loop_360_R_002,230223,_2,crawl_ff_loop_360_R,person crawls backward over their right shoulder,person crawls backwards while in a frog position,crawling backwards from a frog-like position on the floor,A person parallel to the ground is crawling backwards steadily.,"move backward, talent on the floor in frog position, crawling",crawling back over right shoulder,crawl ff loop 360,neutral,neutral,crawling,crawling,1,1,0,0,0,A217,M,177,28,146,37,100,142,180,98,29,52,10,82,25,M,actor
crawl_ff_loop_270_R_002__A132,crawl_ff_loop_270_002__A132,1366,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230120/crawl_ff_loop_270_002__A132.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230120/crawl_ff_loop_270_002__A132.bvh,soma_shapes/soma_proportion_fit_mhr_params/A132.npz,g1/csv/230120/crawl_ff_loop_270_002__A132.csv,crawl_ff_loop_270_R_002,A132,crawl_ff_loop_270_002,230120,_1,crawl_ff_loop_270_R,"person on the floor in a frog position, crawling sideways",person crawls while moving sideways,person moves sideways in a frog-like crawling position,A person is crawling to the right while lying and facing down.,"move sideways, talent on the floor in frog position, crawling",crawling to the right,crawl ff loop 270,neutral,neutral,crawling,crawling,1,1,0,0,0,A132,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
crawl_ff_start_180_R_002__A233,crawl_ff_start_180_R_002__A233,1158,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_start_180_R_002__A233.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_start_180_R_002__A233.bvh,soma_shapes/soma_proportion_fit_mhr_params/A233.npz,g1/csv/230301/crawl_ff_start_180_R_002__A233.csv,crawl_ff_start_180_R_002,A233,crawl_ff_start_180_R_002,230301,_1,crawl_ff_start_180_R,person positioned like a frog is initiating a crawl movement forward,"person on the floor in a frog position starts crawling forward, leading with their right foot and left hand","starting with their right foot, individual starts to move forward while on the floor in a frog position and begin crawling",A person lying on the ground starts crawling forward at a relatively fast pace.,"start right foot left hand adding left hand adding, move forward, talent on the floor in frog position, crawling",beginning to crawl facing forward,crawl ff start 180,neutral,neutral,crawling,crawling,1,1,0,0,0,A233,M,174,24,145,31,97,136,173,103,28,53,9,65,28,F,actor
crawl_ff_loop_180_R_003__A127,crawl_ff_loop_180_R_003__A127,989,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230119/crawl_ff_loop_180_R_003__A127.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/crawl_ff_loop_180_R_003__A127.bvh,soma_shapes/soma_proportion_fit_mhr_params/A127.npz,g1/csv/230119/crawl_ff_loop_180_R_003__A127.csv,crawl_ff_loop_180_R_003,A127,crawl_ff_loop_180_R_003,230119,_3,crawl_ff_loop_180_R,individual crawls forward from a frog-like position on the floor,character crawls forward from a frog position on the floor,person in frog position is crawling forward,A person lying on their stomach crawls forward steadily.,"move forward, talent on the floor in frog position, crawling",crawling facing forward,crawl ff loop 180,neutral,neutral,crawling,crawling,1,1,0,0,0,A127,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
crawl_ff_start_180_R_003__A229,crawl_ff_start_180_R_003__A229,848,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_start_180_R_003__A229.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_start_180_R_003__A229.bvh,soma_shapes/soma_proportion_fit_mhr_params/A229.npz,g1/csv/230301/crawl_ff_start_180_R_003__A229.csv,crawl_ff_start_180_R_003,A229,crawl_ff_start_180_R_003,230301,_1,crawl_ff_start_180_R,person positioned like a frog is initiating a crawl movement forward,"person on the floor in a frog position starts crawling forward, leading with their right foot and left hand","starting with their right foot, individual starts to move forward while on the floor in a frog position and begin crawling",A person lying on the ground slowly crawls forward.,"start right foot left hand adding left hand adding, move forward, talent on the floor in frog position, crawling",beginning to crawl facing forward,crawl ff start 180,neutral,neutral,crawling,crawling,1,1,0,0,0,A229,M,174,24,144,32,94,139,172,99,27,58,9,58,28,F,actor
crawl_idle_002__A127,idle_crawl_start_002__A127,1246,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230119/idle_crawl_start_002__A127.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/idle_crawl_start_002__A127.bvh,soma_shapes/soma_proportion_fit_mhr_params/A127.npz,g1/csv/230119/idle_crawl_start_002__A127.csv,crawl_idle_002,A127,idle_crawl_start_002,230119,_3,crawl_idle,person lays on the ground with head up,maintain horizontal position on the floor,person is in a lying stance,"A person lies face-down with the arms and legs bent outward, close to the ground.","on floor, lying down with head raised up",lying down position,crawl idle,neutral,neutral,crawling,"standing, combat, lying on back",1,1,0,0,0,A127,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
crawl_ff_stop_225_R_003__A217,crawl_ff_stop_225_R_003__A217,1348,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/crawl_ff_stop_225_R_003__A217.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/crawl_ff_stop_225_R_003__A217.bvh,soma_shapes/soma_proportion_fit_mhr_params/A217.npz,g1/csv/230223/crawl_ff_stop_225_R_003__A217.csv,crawl_ff_stop_225_R_003,A217,crawl_ff_stop_225_R_003,230223,_1,crawl_ff_stop_225_R,figure on the ground in a frog-like position crawls diagonally toward the top-right direction,stop crawling forward at a diagonal right direction,person stops crawling forward in the right diagonal direction,"A person lying on the ground slowly crawls towards the right diagonal, then stops.","end left foot right hand adding, move forward diagonally, talent on the floor in frog position, crawling",stopping to crawl forward in right diagonal direction,crawl ff stop 225,neutral,neutral,crawling,crawling,1,1,0,0,0,A217,M,177,28,146,37,100,142,180,98,29,52,10,82,25,M,actor
turn_crawl_360_R_005__A131,turn_crawl_360_005__A131,803,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230120/turn_crawl_360_005__A131.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230120/turn_crawl_360_005__A131.bvh,soma_shapes/soma_proportion_fit_mhr_params/A131.npz,g1/csv/230120/turn_crawl_360_005__A131.csv,turn_crawl_360_R_005,A131,turn_crawl_360_005,230120,_1,turn_crawl_360_R,someone turns around while crawling on the floor,"starting from a crawl, person makes a 180-degree turn over their right shoulder","performing a full turn to the right, crawling in a frog-like position",A person lying on their torso is turning over their right shoulder while crawling.,"start right foot left hand adding, turn 180 degrees over right shoulder, talent on the floor in frog position",turn back over right shoulder while crawling,turn crawl 360,neutral,neutral,"turning, crawling",crawling,1,1,0,0,0,A131,M,169,25,136,25,90,130,164,95,31,51,8,63,25,F,actor
crawl_ff_start_360_R_003__A133,crawl_ff_start_360_003__A133,716,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230120/crawl_ff_start_360_003__A133.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230120/crawl_ff_start_360_003__A133.bvh,soma_shapes/soma_proportion_fit_mhr_params/A133.npz,g1/csv/230120/crawl_ff_start_360_003__A133.csv,crawl_ff_start_360_R_003,A133,crawl_ff_start_360_003,230120,_1,crawl_ff_start_360_R,person begins to crawl backward over their right shoulder,"person begins to crawl backward, starting their movement over the right shoulder in a frog-like position",person starts crawling backward over their right shoulder,A person lying still on the ground starts to crawl backwards.,"start right foot left hand adding left hand adding, move backward, talent on the floor in frog position, crawling",beginning to crawling back over right shoulder,crawl ff start 360,neutral,neutral,crawling,crawling,1,1,0,0,0,A133,M,181,29,152,35,99,145,188,103,29,58,10,73,25,M,actor
crawl_ff_stop_270_R_001__A233,crawl_ff_stop_270_R_001__A233,1065,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230301/crawl_ff_stop_270_R_001__A233.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230301/crawl_ff_stop_270_R_001__A233.bvh,soma_shapes/soma_proportion_fit_mhr_params/A233.npz,g1/csv/230301/crawl_ff_stop_270_R_001__A233.csv,crawl_ff_stop_270_R_001,A233,crawl_ff_stop_270_R_001,230301,_1,crawl_ff_stop_270_R,person on the floor in frog position ceases crawling to the right,person stops crawling and stays in a frog position while moving right,"person in a frog position on the floor, stops crawling to the right","A person, lying on their stomach, slowly crawls to their right and stops.","end left foot right hand adding, move sideways, talent on the floor in frog position, crawling",stopping to crawl to the right,crawl ff stop 270,neutral,neutral,crawling,crawling,1,1,0,0,0,A233,M,174,24,145,31,97,136,173,103,28,53,9,65,28,F,actor
crawl_ff_loop_360_R_001__A217,crawl_ff_loop_360_R_001__A217,1218,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/crawl_ff_loop_360_R_001__A217.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/crawl_ff_loop_360_R_001__A217.bvh,soma_shapes/soma_proportion_fit_mhr_params/A217.npz,g1/csv/230223/crawl_ff_loop_360_R_001__A217.csv,crawl_ff_loop_360_R_001,A217,crawl_ff_loop_360_R_001,230223,_2,crawl_ff_loop_360_R,person crawls backward over their right shoulder,person crawls backwards while in a frog position,crawling backwards from a frog-like position on the floor,A person parallel to the ground is crawling backwards steadily.,"move backward, talent on the floor in frog position, crawling",crawling back over right shoulder,crawl ff loop 360,neutral,neutral,crawling,crawling,1,1,0,0,0,A217,M,177,28,146,37,100,142,180,98,29,52,10,82,25,M,actor
crawl_ff_start_315_R_001__A215,crawl_ff_start_315_R_001__A215,1478,Gaming,Unusual Locomotion,1.0,False,soma_uniform/bvh/230223/crawl_ff_start_315_R_001__A215.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230223/crawl_ff_start_315_R_001__A215.bvh,soma_shapes/soma_proportion_fit_mhr_params/A215.npz,g1/csv/230223/crawl_ff_start_315_R_001__A215.csv,crawl_ff_start_315_R_001,A215,crawl_ff_start_315_R_001,230223,_2,crawl_ff_start_315_R,the start of a crawling motion moving backwards to the right,person starts to crawl backwards diagonally to the right,person initiates to crawl backward diagonally to the right,"A person lying on the ground begins to steadily crawl backward, diagonally to the right.","start right foot left hand adding, move backward diagonally, talent on the floor in frog position, crawling",beginning to crawling backwards diagonally to the right,crawl ff start 315,neutral,neutral,crawling,crawling,1,1,0,0,0,A215,M,169,25,136,25,90,130,164,95,31,51,8,63,25,F,actor
